Batch ID,Product,Line ID,Shift,Operator,Start Time,End Time,Ambient Temp (°C),Step No.,Process Step,Raw Materials (kg),Lot Number(s),Quantity Deviation (%),Equipment Used,Equipment ID/Model,Control Parameter,Setpoint Value,Measured Value,Unit,Tolerance Range,Alarm (Y/N),Alarm Type,SPC Status,Sensor Calibrated (Y/N),Energy Consumption (kWh),Maintenance Flag (Y/N),Operator Notes,Quality Check (Y/N)
BRE-000,Bread,Line-1,C,Op-303,2025-01-01 13:00:00,2025-01-01 13:20:00,27.4,1,Milling,Wheat (1000),Wheat-LOT1794,1.26,Roller Mill,Bühler MDDK,Roller Gap,0.3,0.3,mm,0.19999999999999998 to 0.4,N,None,In Control,Y,8.24,N,Routine maintenance soon,Y
BRE-000,Bread,Line-1,C,Op-303,2025-01-01 13:00:00,2025-01-01 13:20:00,27.4,1,Milling,Wheat (1000),Wheat-LOT1794,1.26,Roller Mill,Bühler MDDK,Feed Rate,200.0,202.17,kg,190.0 to 210.0,N,None,In Control,Y,7.83,N,Minor deviation corrected,Y
BRE-000,Bread,Line-1,C,Op-303,2025-01-01 13:20:00,2025-01-01 13:40:00,27.4,2,Mixing,"Flour (600), Water (350), Yeast (20)","Flour-LOT5181, Water-LOT4166, Yeast-LOT3638",-1.7,Dough Mixer,Diosna SP120,Rotation Speed,80.0,86.06,rpm,60 to 120,N,None,In Control,N,5.26,N,Adjustment required,Y
BRE-000,Bread,Line-1,C,Op-303,2025-01-01 13:20:00,2025-01-01 13:40:00,27.4,2,Mixing,"Flour (600), Water (350), Yeast (20)","Flour-LOT5181, Water-LOT4166, Yeast-LOT3638",-1.7,Dough Mixer,Diosna SP120,Dough Temp,26.0,26.2,°C,25 to 27,N,None,In Control,N,6.53,N,Operator verified,Y
BRE-000,Bread,Line-1,C,Op-303,2025-01-01 13:40:00,2025-01-01 14:00:00,27.4,3,Fermentation,Dough (1000),Dough-LOT8663,-1.18,Proofing Chamber,WP Bakery FER-200,Chamber Temp,32.0,32.2,°C,30 to 35,N,None,In Control,Y,6.53,N,Sensor recalibrated,Y
BRE-000,Bread,Line-1,C,Op-303,2025-01-01 13:40:00,2025-01-01 14:00:00,27.4,3,Fermentation,Dough (1000),Dough-LOT8663,-1.18,Proofing Chamber,WP Bakery FER-200,Relative Humidity,80.0,78.44,%,75 to 85,N,None,In Control,N,7.39,N,Operator verified,Y
BRE-000,Bread,Line-1,C,Op-303,2025-01-01 14:00:00,2025-01-01 14:20:00,27.4,4,Baking,Fermented Dough (1000),Fermented Dough-LOT2258,0.38,Industrial Oven,MIWE Aero,Oven Temp,230.0,246.5,°C,200 to 250,N,None,Out of Control,N,8.52,N,Adjustment required,Y
BRE-000,Bread,Line-1,C,Op-303,2025-01-01 14:00:00,2025-01-01 14:20:00,27.4,4,Baking,Fermented Dough (1000),Fermented Dough-LOT2258,0.38,Industrial Oven,MIWE Aero,Baking Time,25.0,26.14,min,20 to 30,N,None,In Control,Y,7.36,N,Filter check done,Y
BRE-001,Bread,Line-2,C,Op-101,2025-01-01 10:00:00,2025-01-01 10:20:00,25.4,1,Milling,Wheat (1000),Wheat-LOT3512,-3.41,Roller Mill,Bühler MDDK,Roller Gap,0.3,0.3,mm,0.19999999999999998 to 0.4,N,None,In Control,N,8.89,N,Equipment stable,Y
BRE-001,Bread,Line-2,C,Op-101,2025-01-01 10:00:00,2025-01-01 10:20:00,25.4,1,Milling,Wheat (1000),Wheat-LOT3512,-3.41,Roller Mill,Bühler MDDK,Feed Rate,200.0,201.3,kg,190.0 to 210.0,N,None,In Control,N,9.04,N,Routine maintenance soon,Y
BRE-001,Bread,Line-2,C,Op-101,2025-01-01 10:20:00,2025-01-01 10:40:00,25.4,2,Mixing,"Flour (600), Water (350), Yeast (20)","Flour-LOT3725, Water-LOT9166, Yeast-LOT9362",0.37,Dough Mixer,Diosna SP120,Rotation Speed,80.0,88.08,rpm,60 to 120,N,None,In Control,Y,6.97,N,Minor deviation corrected,Y
BRE-001,Bread,Line-2,C,Op-101,2025-01-01 10:20:00,2025-01-01 10:40:00,25.4,2,Mixing,"Flour (600), Water (350), Yeast (20)","Flour-LOT3725, Water-LOT9166, Yeast-LOT9362",0.37,Dough Mixer,Diosna SP120,Dough Temp,26.0,26.2,°C,25 to 27,N,None,In Control,Y,7.1,N,Routine maintenance soon,Y
BRE-001,Bread,Line-2,C,Op-101,2025-01-01 10:40:00,2025-01-01 11:00:00,25.4,3,Fermentation,Dough (1000),Dough-LOT2947,-0.99,Proofing Chamber,WP Bakery FER-200,Chamber Temp,32.0,31.4,°C,30 to 35,N,None,In Control,N,7.56,N,Equipment stable,Y
BRE-001,Bread,Line-2,C,Op-101,2025-01-01 10:40:00,2025-01-01 11:00:00,25.4,3,Fermentation,Dough (1000),Dough-LOT2947,-0.99,Proofing Chamber,WP Bakery FER-200,Relative Humidity,80.0,80.81,%,75 to 85,N,None,In Control,Y,7.97,N,Equipment stable,Y
BRE-001,Bread,Line-2,C,Op-101,2025-01-01 11:00:00,2025-01-01 11:20:00,25.4,4,Baking,Fermented Dough (1000),Fermented Dough-LOT2330,3.8,Industrial Oven,MIWE Aero,Oven Temp,230.0,232.0,°C,200 to 250,N,None,In Control,N,9.87,N,All normal,Y
BRE-001,Bread,Line-2,C,Op-101,2025-01-01 11:00:00,2025-01-01 11:20:00,25.4,4,Baking,Fermented Dough (1000),Fermented Dough-LOT2330,3.8,Industrial Oven,MIWE Aero,Baking Time,25.0,23.34,min,20 to 30,N,None,In Control,N,8.97,N,Sensor recalibrated,Y
BRE-002,Bread,Line-2,C,Op-101,2025-01-02 10:00:00,2025-01-02 10:20:00,19.7,1,Milling,Wheat (1000),Wheat-LOT3523,0.0,Roller Mill,Bühler MDDK,Roller Gap,0.3,0.3,mm,0.19999999999999998 to 0.4,N,None,In Control,Y,6.67,N,Adjustment required,Y
BRE-002,Bread,Line-2,C,Op-101,2025-01-02 10:00:00,2025-01-02 10:20:00,19.7,1,Milling,Wheat (1000),Wheat-LOT3523,0.0,Roller Mill,Bühler MDDK,Feed Rate,200.0,199.89,kg,190.0 to 210.0,N,None,In Control,Y,7.07,N,All normal,Y
BRE-002,Bread,Line-2,C,Op-101,2025-01-02 10:20:00,2025-01-02 10:40:00,19.7,2,Mixing,"Flour (600), Water (350), Yeast (20)","Flour-LOT1231, Water-LOT7479, Yeast-LOT8517",4.31,Dough Mixer,Diosna SP120,Rotation Speed,80.0,73.9,rpm,60 to 120,N,None,In Control,Y,7.59,N,Sensor recalibrated,Y
BRE-002,Bread,Line-2,C,Op-101,2025-01-02 10:20:00,2025-01-02 10:40:00,19.7,2,Mixing,"Flour (600), Water (350), Yeast (20)","Flour-LOT1231, Water-LOT7479, Yeast-LOT8517",4.31,Dough Mixer,Diosna SP120,Dough Temp,26.0,25.9,°C,25 to 27,N,None,In Control,N,8.04,N,Filter check done,Y
BRE-002,Bread,Line-2,C,Op-101,2025-01-02 10:40:00,2025-01-02 11:00:00,19.7,3,Fermentation,Dough (1000),Dough-LOT1303,-0.96,Proofing Chamber,WP Bakery FER-200,Chamber Temp,32.0,32.5,°C,30 to 35,N,None,In Control,N,9.32,N,Operator verified,Y
BRE-002,Bread,Line-2,C,Op-101,2025-01-02 10:40:00,2025-01-02 11:00:00,19.7,3,Fermentation,Dough (1000),Dough-LOT1303,-0.96,Proofing Chamber,WP Bakery FER-200,Relative Humidity,80.0,78.46,%,75 to 85,N,None,In Control,N,9.74,N,Minor deviation corrected,Y
BRE-002,Bread,Line-2,C,Op-101,2025-01-02 11:00:00,2025-01-02 11:20:00,19.7,4,Baking,Fermented Dough (1000),Fermented Dough-LOT4541,-2.27,Industrial Oven,MIWE Aero,Oven Temp,230.0,235.1,°C,200 to 250,N,None,In Control,Y,6.64,N,Filter check done,Y
BRE-002,Bread,Line-2,C,Op-101,2025-01-02 11:00:00,2025-01-02 11:20:00,19.7,4,Baking,Fermented Dough (1000),Fermented Dough-LOT4541,-2.27,Industrial Oven,MIWE Aero,Baking Time,25.0,28.47,min,20 to 30,N,None,In Control,Y,6.26,N,Filter check done,Y
BRE-003,Bread,Line-3,C,Op-202,2025-01-02 08:00:00,2025-01-02 08:20:00,22.5,1,Milling,Wheat (1000),Wheat-LOT8510,1.36,Roller Mill,Bühler MDDK,Roller Gap,0.3,0.3,mm,0.19999999999999998 to 0.4,N,None,In Control,N,7.62,N,Sensor recalibrated,Y
BRE-003,Bread,Line-3,C,Op-202,2025-01-02 08:00:00,2025-01-02 08:20:00,22.5,1,Milling,Wheat (1000),Wheat-LOT8510,1.36,Roller Mill,Bühler MDDK,Feed Rate,200.0,206.47,kg,190.0 to 210.0,N,None,In Control,Y,7.13,N,Routine maintenance soon,Y
BRE-003,Bread,Line-3,C,Op-202,2025-01-02 08:20:00,2025-01-02 08:40:00,22.5,2,Mixing,"Flour (600), Water (350), Yeast (20)","Flour-LOT5864, Water-LOT1663, Yeast-LOT5031",-1.48,Dough Mixer,Diosna SP120,Rotation Speed,80.0,81.87,rpm,60 to 120,N,None,In Control,N,5.78,N,Routine maintenance soon,Y
BRE-003,Bread,Line-3,C,Op-202,2025-01-02 08:20:00,2025-01-02 08:40:00,22.5,2,Mixing,"Flour (600), Water (350), Yeast (20)","Flour-LOT5864, Water-LOT1663, Yeast-LOT5031",-1.48,Dough Mixer,Diosna SP120,Dough Temp,26.0,25.5,°C,25 to 27,N,None,In Control,Y,6.89,N,All normal,Y
BRE-003,Bread,Line-3,C,Op-202,2025-01-02 08:40:00,2025-01-02 09:00:00,22.5,3,Fermentation,Dough (1000),Dough-LOT8621,1.92,Proofing Chamber,WP Bakery FER-200,Chamber Temp,32.0,30.2,°C,30 to 35,N,None,In Control,Y,9.42,N,Sensor recalibrated,Y
BRE-003,Bread,Line-3,C,Op-202,2025-01-02 08:40:00,2025-01-02 09:00:00,22.5,3,Fermentation,Dough (1000),Dough-LOT8621,1.92,Proofing Chamber,WP Bakery FER-200,Relative Humidity,80.0,81.99,%,75 to 85,N,None,In Control,Y,8.4,N,All normal,Y
BRE-003,Bread,Line-3,C,Op-202,2025-01-02 09:00:00,2025-01-02 09:20:00,22.5,4,Baking,Fermented Dough (1000),Fermented Dough-LOT5357,2.59,Industrial Oven,MIWE Aero,Oven Temp,230.0,217.8,°C,200 to 250,N,None,In Control,Y,7.57,N,Filter check done,Y
BRE-003,Bread,Line-3,C,Op-202,2025-01-02 09:00:00,2025-01-02 09:20:00,22.5,4,Baking,Fermented Dough (1000),Fermented Dough-LOT5357,2.59,Industrial Oven,MIWE Aero,Baking Time,25.0,24.73,min,20 to 30,N,None,In Control,Y,8.06,N,Minor deviation corrected,Y
